,like_month,count
0,2023-12,52
1,2024-01,15
2,2024-02,6
3,2024-03,14
4,2024-04,2
5,2024-05,21
6,2024-08,55
7,2024-09,23
8,2024-10,45
9,2024-11,13
10,2024-12,21
11,2025-01,33
12,2025-02,6
