,match_month,count
0,2022-12,4
1,2023-01,7
2,2023-02,7
3,2023-03,2
4,2023-04,1
5,2023-05,1
6,2023-07,2
7,2023-09,6
8,2023-10,4
9,2023-11,5
10,2023-12,3
11,2024-01,1
12,2024-02,2
13,2024-04,2
14,2024-05,2
15,2024-06,1
16,2024-07,3
