,like_month,count
0,2023-12,39
1,2024-01,12
2,2024-05,49
3,2024-06,148
4,2024-07,121
5,2024-08,167
6,2024-09,95
7,2024-10,125
8,2024-11,86
9,2024-12,178
10,2025-01,41
11,2025-02,1259
