,like_month,count
0,2022-12,219
1,2023-01,197
2,2023-02,125
3,2023-03,34
4,2023-04,50
5,2023-05,11
6,2023-06,3
7,2023-07,91
8,2023-08,25
9,2023-09,64
10,2023-10,55
11,2023-11,148
12,2023-12,122
13,2024-01,43
14,2024-02,49
15,2024-03,53
16,2024-04,30
17,2024-05,135
18,2024-06,83
19,2024-07,41
20,2024-08,11
21,2024-09,19
22,2024-10,11
23,2024-11,22
24,2025-01,19
25,2025-02,10
