,like_month,count
0,2024-02,42
1,2024-03,47
2,2024-04,58
3,2024-05,46
4,2024-06,27
5,2024-07,16
6,2024-08,4
7,2024-09,10
8,2024-10,19
9,2024-11,14
10,2024-12,4
11,2025-01,7
12,2025-02,3
